Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Gradient Boosting,47.508693752208025,61.509635480063956,70.13852301213231,92.59215970900487,0.47915031912966266,0.03776743259385151
Random Forest,45.75747557817257,62.67234552967643,66.21237816263101,93.16488300788299,0.5358294916072034,0.025826953215137616
Ridge Regression,66.24375121153669,63.21919716826072,96.11192748034172,92.8583058383955,0.02196647037995525,0.03222781601938407
Linear Regression,66.24361334355817,63.21924384957507,96.11192730055863,92.85814457601606,0.02196647403889529,0.0322311773796462
Lasso Regression,66.32715316509629,63.29003609326064,96.1748417962704,92.96873733145983,0.02068562103204208,0.029924606302344947
Decision Tree,42.10106593233826,70.74241715946337,71.30379267486796,115.09089632069113,0.4616999359429462,-0.48666654425742717
